ring_size,iter,elapsed_ms
2,0,3.921247
2,1,4.026384
2,2,5.713049000000001
2,3,4.168782
2,4,4.131651
2,5,4.100743
2,6,4.196984
2,7,4.228843
2,8,4.130419
2,9,4.127353
6,0,4.761273
6,1,4.681914
6,2,4.69055
6,3,4.747487
6,4,4.776191
6,5,5.029837
6,6,5.098305
6,7,4.867793
6,8,4.926523
6,9,4.724093000000001
10,0,5.591119
10,1,5.343044
10,2,5.567576
10,3,5.503144
10,4,5.4848099999999995
10,5,5.697098
10,6,5.765076
10,7,5.686869
10,8,5.703591
10,9,5.652595
14,0,6.539739999999999
14,1,7.043946
14,2,6.776744000000001
14,3,6.452967
14,4,6.573151999999999
14,5,6.567952
14,6,6.472974000000001
14,7,5.812114
14,8,5.5855999999999995
14,9,5.5585890000000004
18,0,6.189362
18,1,8.334747
18,2,6.247261
18,3,6.270905
18,4,6.550921000000001
18,5,6.537936
18,6,6.4898359999999995
18,7,6.456874
18,8,6.3581389999999995
18,9,6.3642
22,0,6.823171
22,1,6.895486999999999
22,2,6.842998000000001
22,3,7.037802999999999
22,4,6.947775
22,5,6.990115
22,6,6.976469
22,7,6.898492
22,8,6.936624
22,9,6.895497000000001
26,0,7.364637
26,1,7.670712
26,2,7.944094000000001
26,3,7.473101000000001
26,4,7.402157000000001
26,5,7.439046
26,6,7.474252
26,7,7.342295
26,8,7.46227
26,9,7.391688
30,0,7.779885999999999
30,1,8.035987
30,2,8.247674
30,3,8.486321
30,4,8.521697999999999
30,5,8.623168
30,6,8.670166
30,7,8.285143999999999
30,8,8.164678
30,9,7.71249
34,0,10.419939
34,1,8.429214
34,2,8.835637
34,3,8.673782999999998
34,4,8.708178
34,5,8.440455
34,6,8.327694
34,7,8.174987
34,8,8.091470999999999
34,9,8.246260999999999
38,0,10.795634
38,1,9.019893
38,2,9.396609999999999
38,3,10.018516
38,4,9.244835
38,5,9.045630000000001
38,6,9.194701
38,7,9.564093
38,8,9.733682
38,9,9.763157
42,0,12.632491
42,1,11.484115
42,2,10.81502
42,3,10.938490999999999
42,4,11.140350999999999
42,5,10.828885999999999
42,6,9.90881
42,7,9.523757000000002
42,8,9.320577
42,9,9.412759999999999
46,0,12.023858
46,1,10.27146
46,2,10.357182
46,3,10.335541000000001
46,4,10.091082
46,5,9.965516000000001
46,6,9.851472999999999
46,7,10.201659
46,8,10.173767999999999
46,9,10.395363
50,0,10.840378
50,1,11.272508
50,2,11.632575
50,3,11.604622
50,4,11.56625
50,5,11.308075
50,6,10.716365
50,7,10.702990000000002
50,8,10.657595
50,9,10.457439
54,0,13.248175
54,1,11.646870999999999
54,2,11.554448
54,3,11.171649
54,4,10.933363
54,5,10.947448
54,6,11.094936
54,7,11.000497999999999
54,8,10.99058
54,9,11.048759
58,0,12.468332
58,1,12.503448
58,2,12.842654
58,3,13.021049
58,4,12.153211
58,5,11.623978
58,6,11.509273
58,7,11.530402
58,8,11.440142999999999
58,9,11.420076
62,0,12.526321
62,1,13.000962
62,2,12.942412000000001
62,3,12.084351999999999
62,4,11.923209
62,5,12.138503
62,6,12.928475
62,7,11.820136
62,8,11.786783
62,9,11.866722999999999
66,0,13.065652
66,1,13.047519000000001
66,2,13.376104999999999
66,3,14.020905
66,4,13.287569000000001
66,5,12.964493000000001
66,6,12.961508
66,7,12.770108
66,8,12.748087
66,9,12.60023
70,0,15.559892000000001
70,1,13.840516000000001
70,2,13.807024
70,3,13.457056999999999
70,4,13.118071
70,5,13.055894
70,6,13.230432
70,7,13.302047
70,8,13.190868
70,9,13.041567
74,0,15.099438
74,1,14.267417
74,2,13.806202
74,3,13.578174
74,4,13.778901
74,5,13.613551
74,6,13.529332
74,7,13.625523000000001
74,8,13.615485
74,9,13.592652000000001
78,0,14.779158
78,1,15.033464
78,2,14.879826000000001
78,3,14.387633000000001
78,4,14.066320000000001
78,5,14.65265
78,6,14.794476000000001
78,7,14.570787
78,8,14.524009
78,9,14.277265000000002
82,0,15.929276
82,1,15.813929000000002
82,2,15.432283
82,3,15.100751
82,4,14.883103
82,5,14.859186999999999
82,6,14.885496999999999
82,7,14.734053000000001
82,8,14.886178
82,9,14.610952
86,0,15.932251
86,1,16.191598000000003
86,2,15.845096999999999
86,3,15.740872
86,4,15.505971
86,5,15.464884999999999
86,6,15.294673999999999
86,7,15.373553
86,8,15.216728
86,9,15.350048999999999
90,0,16.911418
90,1,16.899125
90,2,16.109463
90,3,16.13985
90,4,17.457131
90,5,16.552855
90,6,16.089196
90,7,15.829538000000001
90,8,15.763383999999999
90,9,15.882136000000001
94,0,17.918177
94,1,17.06197
94,2,16.556411999999998
94,3,16.332121
94,4,16.552585
94,5,19.009925
94,6,17.394514
94,7,16.766406
94,8,16.53371
94,9,17.341725999999998
98,0,17.66947
98,1,17.750622
98,2,17.450899999999997
98,3,16.882043
98,4,17.485194999999997
98,5,17.019289999999998
98,6,16.934452
98,7,16.699511
98,8,16.824976
98,9,16.782156
102,0,18.437731999999997
102,1,18.589206
102,2,17.794154
102,3,17.55216
102,4,17.472911
102,5,17.596112
102,6,17.539937
102,7,17.477741
102,8,17.745422
102,9,17.824671
106,0,19.273609
106,1,19.032728
106,2,18.481934
106,3,18.297037
106,4,18.319519999999997
106,5,20.096714000000002
106,6,18.492384
106,7,18.546716
106,8,17.97286
106,9,18.086762999999998
110,0,19.763188
110,1,19.398514
110,2,18.654207999999997
110,3,18.851368
110,4,19.25268
110,5,18.351891
110,6,18.32535
110,7,18.336130999999998
110,8,18.341621999999997
110,9,18.451618
114,0,20.434386999999997
114,1,19.797232
114,2,19.080337
114,3,19.13514
114,4,19.344372
114,5,21.039182
114,6,19.228084
114,7,19.209529999999997
114,8,19.11955
114,9,18.948339
118,0,20.835891
118,1,20.380035
118,2,20.22835
118,3,21.680165000000002
118,4,20.328257999999998
118,5,19.725296999999998
118,6,19.993982
118,7,19.605732
118,8,19.594542
118,9,19.856403
